Plot,Tree_ID,Species1,n,Area_cm2,SLA,Date.Dried
B10,B10T15,Macaranga bancana,3,504.29999999999995,111.59272542132527,2014-08-01T00:00:00Z
B10,B10T60,Dillenia suffruticosa,3,129.25,205.73624127029672,2014-08-01T00:00:00Z
B10,B10T71,Litsea accedens,3,42.05,163.3744684399233,2014-08-01T00:00:00Z
D12,D12T04,Knema communis,3,100.15,91.96760265705551,2014-05-20T00:00:00Z
D12,D12T06,Gironniera nervosa,3,56.150000000000006,141.86879214237214,2014-05-20T00:00:00Z
D12,D12T07,Garcinia parvifolia,3,32.400000000000006,143.59073588949752,2014-05-20T00:00:00Z
D12,D12T08,Horsfieldia polyspherula,3,52.95,238.36996336996336,2014-05-20T00:00:00Z
D12,D12T103,Melastoma malabathricum,3,11.6,200.81032412965186,2014-05-20T00:00:00Z
D12,D12T104,Clerodendrum laevifolium,3,45.2,371.9821162444113,2014-05-20T00:00:00Z
D12,D12T11,Porterandia anisophylla,3,78.1,83.08813221935628,2014-05-20T00:00:00Z
D12,D12T18,Palaquium obovatum,3,72.55000000000001,101.83779914901694,2014-05-20T00:00:00Z
D12,D12T22,Castanopsis wallichii,3,11.05,90.52309782608695,2014-05-20T00:00:00Z
D12,D12T25,Arthrophyllum diversifolium,2,1439.2,94.37377049180328,2014-05-20T00:00:00Z
D12,D12T27,Palaquium obovatum,3,81,122.72268267775408,2014-05-20T00:00:00Z
D12,D12T30,Elaeocarpus salicifolius,3,9.25,81.26749067164178,2014-05-20T00:00:00Z
D12,D12T40,Prunus polystachya,3,109.05000000000001,90.82239422442817,2014-05-20T00:00:00Z
D12,D12T41,Timonius wallichianus,3,30.75,200.79975579975581,2014-05-20T00:00:00Z
D12,D12T49,Archidendron clypearia,3,540.3,199.738057326464,2014-05-20T00:00:00Z
D12,D12T53,Alstonia angustifolia,3,26.950000000000003,100.823512503593,2014-05-20T00:00:00Z
D12,D12T56,Litsea elliptica,3,67.7,232.96168437488564,2014-05-20T00:00:00Z
D12,D12T58,Syzygium borneense,3,49.95,155.6428035241595,2014-05-20T00:00:00Z
D12,D12T62,Timonius flavescens,3,53.35,124.68210717529519,2014-05-20T00:00:00Z
D12,D12T70,Macaranga conifera,3,37.1,216.3510101010101,2014-05-20T00:00:00Z
D12,D12T76,Carallia brachiata,3,35,143.29163339543965,2014-05-20T00:00:00Z
D12,D12T78,Elaeocarpus salicifolius,3,12.25,142.72481406355644,2014-05-20T00:00:00Z
D13,D13T06,Aporosa lunata,3,156.2,75.00784940285362,2014-07-08T00:00:00Z
D13,D13T08,Gynotroches axillaris,3,57.7,103.25589697482548,2014-07-08T00:00:00Z
D13,D13T39,Scorodocarpus borneensis,3,109.9,58.431725658713106,2014-07-08T00:00:00Z
D13,D13T40,Santiria rubiginosa,3,477.75,98.7940345497165,2014-07-08T00:00:00Z
D13,D13T60,Guioa pubescens,1,158.7,86.06290672451192,2014-07-08T00:00:00Z
D13,D13T72,Melastoma malabathricum,3,13.25,160.03584229390682,2014-07-08T00:00:00Z
D13,D13T75,Prunus polystachya,3,34.7,120.63333575387892,2014-07-08T00:00:00Z
D14,D14T01,Diplospora malaccensis,3,48.25,90.83590130450563,2014-06-30T00:00:00Z
D14,D14T11,Knema intermedia,3,42.2,70.24764324851674,2014-06-30T00:00:00Z
D14,D14T29,Koompassia malaccensis,1,242.6,148.9257213014119,2014-06-30T00:00:00Z
D14,D14T35,Clerodendrum laevifolium,3,43.75,202.33780355201162,2014-06-30T00:00:00Z
D23,D23T15,Dyera costulata,3,232.35000000000002,92.19936158882112,2014-07-04T00:00:00Z
D23,D23T17,Baccaurea parviflora,3,30,77.68997916420962,2014-07-04T00:00:00Z
D23,D23T25,Macaranga conifera,3,27.05,101.99891332322915,2014-07-04T00:00:00Z
D23,D23T32,Dyera costulata,3,244.8,86.21994597513233,2014-07-04T00:00:00Z
D23,D23T39,Lindera lucida,3,44.75,100.9893112593426,2014-07-04T00:00:00Z
D23,D23T41,Diplospora malaccensis,3,88.25,115.76118373949245,2014-07-04T00:00:00Z
D23,D23T43,Timonius wallichianus,3,55.349999999999994,207.243265993266,2014-07-04T00:00:00Z
D23,D23T54,Mallotus paniculatus,3,68.65,154.27939876215737,2014-07-04T00:00:00Z
D23,D23T56,Bhesa robusta,3,106.6,129.68375669489075,2014-07-04T00:00:00Z
D23,D23T57,Macaranga gigantea,3,1690.4,166.8429538681039,2014-07-04T00:00:00Z
D23,D23T58,Litsea elliptica,3,53.7,113.41611996251171,2014-07-04T00:00:00Z
D23,D23T62,Cratoxylum arborescens,3,32.3,99.86774024766001,2014-07-04T00:00:00Z
D23,D23T74,Ochanostachys amentacea,3,47.75,113.47002475513938,2014-07-04T00:00:00Z
D57,D57T108,Clerodendrum laevifolium,3,39.900000000000006,146.95739938601287,2014-05-30T00:00:00Z
D57,D57T35,Psydrax sp. 10,3,16.6,92.72727272727272,2014-05-30T00:00:00Z
D57,D57T41,Cratoxylum formosum,3,22.549999999999997,88.8655462184874,2014-05-30T00:00:00Z
D57,D57T43,Horsfieldia polyspherula,3,71.85,103.89646594613141,2014-05-30T00:00:00Z
D57,D57T53,Timonius wallichianus,3,36.3,226.57031124012255,2014-05-30T00:00:00Z
D57,D57T54,Aporosa lucida,3,34.55,105.07872999483739,2014-05-30T00:00:00Z
D57,D57T76,Horsfieldia polyspherula,3,114.19999999999999,173.3423632610939,2014-05-30T00:00:00Z
D57,D57T78,Timonius wallichianus,3,79.7,191.1094083774496,2014-05-30T00:00:00Z
D57,D57T83,Decaspermum parviflorum subsp. quadripartitum,3,8,111.70145477545857,2014-05-30T00:00:00Z
E10,E10T08,Prunus polystachya,3,283.4,86.33712671913906,2014-06-10T00:00:00Z
E10,E10T34,Garcinia scortechinii,3,53.900000000000006,181.97338021094927,2014-06-10T00:00:00Z
E10,E10T38,Gironniera nervosa,3,52.349999999999994,117.36046106624289,2014-06-10T00:00:00Z
E10,E10T50,Canthium glabrum,3,78.95,138.62787539258127,2014-06-10T00:00:00Z
E10,E10T54,Horsfieldia polyspherula,3,92.35,83.65260577915376,2014-06-10T00:00:00Z
E10,E10T55,Ixonanthes icosandra,3,57.85,107.75753107225617,2014-06-10T00:00:00Z
E10,E10T98,Prunus polystachya,3,12.95,325.5900621118012,2014-06-10T00:00:00Z
E3,E3T04,Litsea grandis,3,59.650000000000006,76.02941176470588,2014-06-17T00:00:00Z
E3,E3T07,Syzygium filiforme,3,6.449999999999999,93.90086206896551,2014-06-17T00:00:00Z
E3,E3T11,Syzygium filiforme,3,10,106.69831223628692,2014-06-17T00:00:00Z
E3,E3T13,Rhodamnia cinerea,3,16.85,103.38612368024133,2014-06-17T00:00:00Z
E3,E3T14,Rhodamnia cinerea,3,19.450000000000003,87.69493177387915,2014-06-17T00:00:00Z
E3,E3T19,Syzygium filiforme,3,10.45,106.84210526315789,2014-06-17T00:00:00Z
E3,E3T21,Elaeocarpus stipularis,3,46.65,203.0726362878156,2014-06-17T00:00:00Z
E3,E3T23,Mallotus paniculatus,3,57.5,197.2225185817419,2014-06-17T00:00:00Z
E3,E3T32,Elaeocarpus salicifolius,3,16.5,151.03454172366622,2014-06-17T00:00:00Z
E3,E3T41,Timonius wallichianus,3,59.05,161.875,2014-06-17T00:00:00Z
E3,E3T46,Clerodendrum laevifolium,3,33.85,195.8156477668673,2014-06-17T00:00:00Z
E3,E3T49,Alstonia angustifolia,3,70,115.08067085899346,2014-06-17T00:00:00Z
E3,E3T66,Prunus polystachya,3,172.85,101.03138570864587,2014-06-17T00:00:00Z
E3,E3T74,Archidendron clypearia,3,1780.6,188.24503048838693,2014-06-17T00:00:00Z
E3,E3T87,Macaranga conifera,3,43.8,192.6271645021645,2014-06-17T00:00:00Z
E6,E6T04,Timonius wallichianus,3,23.65,163.17724458204333,2014-06-18T00:00:00Z
E6,E6T09,Gynotroches axillaris,3,79.2,176.95920076573344,2014-06-18T00:00:00Z
