Dataset1,Dataset2,IID,SID,OrgName,AccName,Trait,OrgVal,n
SG02,NA,Q111_Camnosperma squa,NA,Campnosperma squamatum,NA,WD_twig,0.5673532628508932,1
SG02,NA,Q111_Sandoricum,NA,Sandoricum beccarianum,NA,WD_twig,0.447534516765286,1
SG02,NA,Q111_Trema,NA,Trema tomentosa,NA,WD_twig,0.29333215812436647,1
SG02,NA,Q204_23,NA,Actinodaphne malaccensis,NA,WD_twig,0.626925887099336,1
SG02,NA,Q204_41,NA,Knema communis,NA,WD_twig,0.5336874272409778,1
SG02,NA,Q509_34,NA,Polyalthia cauliflora,NA,WD_twig,0.6106036410092622,1
SG02,NA,S1_Malpan3,NA,Mallotus paniculatus,NA,WD_twig,0.44839199630192167,1
SG02,NA,S2_Dillenia suff,NA,Dillenia suffruticosa,NA,WD_twig,0.3752846153846154,1
SG02,NA,S3_Dilsuf1,NA,Dillenia suffruticosa,NA,WD_twig,0.38090764561352797,1
SG02,NA,S3_Dilsuf2,NA,Dillenia suffruticosa,NA,WD_twig,0.33520449077786685,1
SG02,NA,S3_Dilsuf3,NA,Dillenia suffruticosa,NA,WD_twig,0.19546873193850423,1
SG02,NA,S3_Dilsuf4,NA,Dillenia suffruticosa,NA,WD_twig,0.21560814124570865,1
SG02,NA,S3_Dilsuf5,NA,Dillenia suffruticosa,NA,WD_twig,0.31188544739429697,1
SG02,NA,S3_Ficglo1,NA,Ficus grossularioides,NA,WD_twig,0.4716271334098919,1
SG02,NA,S3_Ficglo2,NA,Ficus grossularioides,NA,WD_twig,0.4022940124171314,1
SG02,NA,S3_Malpan1,NA,Mallotus paniculatus,NA,WD_twig,0.36095146871008943,1
SG02,NA,S3_Malpan2,NA,Mallotus paniculatus,NA,WD_twig,0.35808442013742814,1
SG02,NA,S8_Sysmyr1,NA,Syzygium myrtifolium,NA,WD_twig,0.6778255342333072,1
SG02,NA,S8_Sysmyr2,NA,Syzygium myrtifolium,NA,WD_twig,0.7025495750708216,1
SG02,NA,S8_Sysmyr3,NA,Syzygium myrtifolium,NA,WD_twig,0.6759814204375186,1
SG02,NA,S8_Sysmyr4,NA,Syzygium myrtifolium,NA,WD_twig,0.6301879530438129,1
SG02,NA,S8_Sysmyr5,NA,Syzygium myrtifolium,NA,WD_twig,0.6442315433539973,1
SG02,NA,Tekukor_Diospyros discolor,NA,Diospyros blancoi,NA,WD_twig,0.5944559445594456,1
SG02,NA,Uhall_Cracoc1,NA,Cratoxylum cochinchinense,NA,WD_twig,0.6209428129829985,1
SG02,NA,Uhall_Cracoc2,NA,Cratoxylum cochinchinense,NA,WD_twig,0.6346845766370832,1
SG02,NA,Uhall_Cracoc3,NA,Cratoxylum cochinchinense,NA,WD_twig,0.6860430805547358,1
SG02,NA,Uhall_Cracoc4,NA,Cratoxylum cochinchinense,NA,WD_twig,0.6512409513960704,1
SG02,NA,Uhall_Cracoc5,NA,Cratoxylum cochinchinense,NA,WD_twig,0.6642565231059415,1
