Name.auth,Dispersal,Pollination,Fruit type by Corlett,Fruit Colour,Fruit type,Fruit Shape,Pericarp,Dehiscence,Fruit Description,Aril,Seed Shape,Seed Colour,Fruit Length (cm) min,Fruit Width (cm) min,No. Seed min,Seed Length (mm) min,Seed width (mm) min,Fruit Length (cm) max,Fruit Width (cm) max,No. Seed max,Seed Length (mm) max,Seed width (mm) max,Fruit Length (cm) mean,Fruit Width (cm) mean,No. Seed mean,Seed Length (mm) mean,Seed width (mm) mean
Baccaurea pubera (Miq.) Müll. Arg.,others,insect,dehiscent,NA,capsule,NA,NA,NA,"firm, fleshy rind","juicy, sour, pulpy jacket",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baccaurea pyriformis Gage,others,insect,dehiscent,NA,capsule,obovoid,woody,NA,"firm, fleshy rind, sessile, pubescent","juicy, sour, pulpy jacket",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.54,1.27,NA,NA,NA
Baccaurea racemosa (Reinw.) Müll. Arg.,others,insect,dehiscent,brick-red,capsule,round,NA,y,"firm, fleshy rind","juicy, sour, pulpy jacket, electric blue",NA,black,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA,NA,NA
Baccaurea reticulata Hook. f.,others,insect,dehiscent,NA,capsule,round to pear-shaped,NA,NA,"firm, fleshy rind","juicy, sour, pulpy jacket",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
Baccaurea sumatrana (Miq.) Müll. Arg.,others,insect,dehiscent,yellowish,capsule,ovoid to obovoid,NA,NA,"firm, fleshy rind, thin wall","juicy, sour, pulpy jacket, orange",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
Breynia coronata Hook. f.,others,insect,dehiscent,cherry-pink,capsule,globose,NA,n,"succulent, rather fleshy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.62,NA,NA,NA
Breynia discigera Müll. Arg.,others,insect,dehiscent,red,capsule,globose,NA,n,"succulent, rather fleshy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.08,NA,NA,NA
Breynia racemosa (Blume) Mull. Arg.,NA,NA,dehiscent,red,capsule,NA,NA,n,"succulent, rather fleshy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Breynia vitis-idaea (Burm. f.) C. E. C. Fisch.,NA,NA,dehiscent,NA,capsule,globose,NA,n,"succulent, rather fleshy",NA,NA,yellowish-white,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3048,2,NA,NA
Bridelia cinnamomea Hook. f.,others,insect,simple,NA,drupe,ellipsoid,NA,n,fleshy,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
